date,team_a,team_b,bookmaker_odd_1,value_odd_1,bookmaker_odd_x,value_odd_x,bookmaker_odd_2,value_odd_2,ratio
21/04 21:00,real madrid,fc barcelone,unibet,1.77,unibet,3.85,unibet,3.78,1.0892622757029538
21/04 14:00,getafe cf,real sociedad,unibet,3.7,unibet,3.05,zebet,2.07,1.0812309101689004
20/04 14:00,celta vigo,ud las palmas,zebet,1.71,unibet,3.68,unibet,4.65,1.0715882155130696
20/04 18:30,valence cf,real betis,zebet,2.1,unibet,3.18,unibet,3.4,1.0847735320543312
20/04 16:15,rayo vallecano,ca osasuna,zebet,2.15,unibet,3.12,unibet,3.48,1.0729854214216683
27/04 21:00,real sociedad,real madrid,zebet,2.75,zebet,3.25,zebet,2.27,1.1118573056899048
28/04 16:15,grenade cf,ca osasuna,zebet,2.57,zebet,3.0,zebet,2.57,1.111543450064851
27/04 14:00,fc barcelone,valence cf,zebet,1.34,zebet,4.7,zebet,6.5,1.1128807680093802
18/04 20:00,al fateh sc,al raed,unibet,1.89,unibet,3.58,unibet,3.32,1.109634957316185
18/04 18:30,fk jelgava,valmiera fk,unibet,6.35,zebet,3.55,unibet,1.42,1.1433958079183766
18/04 23:30,independiente del valle,mushuc runa,unibet,1.26,zebet,5.0,unibet,7.25,1.1315818281335523
18/04 21:00,imbabura ibarra,universidad catolica,unibet,4.45,unibet,3.8,unibet,1.56,1.1289026368860786
19/04 21:00,delfin sc,csd macara,unibet,2.01,unibet,3.02,unibet,3.0,1.1619715989588482
20/04 02:00,sd aucas,cs emelec,unibet,2.02,unibet,3.0,unibet,3.0,1.1617161716171616
19/04 23:30,orense sc,ldu quito,unibet,3.15,unibet,3.02,unibet,1.95,1.1614066580954
19/04 20:45,cagliari,juventus turin,unibet,4.75,zebet,3.6,zebet,1.7,1.0765393876848985
19/04 18:30,genoa,lazio rome,unibet,2.85,unibet,3.12,zebet,2.5,1.0713900134952765
20/04 18:00,empoli,naples,unibet,4.55,zebet,3.85,unibet,1.64,1.089276577081455
21/04 15:00,torino,frosinone calcio,unibet,1.64,zebet,3.75,unibet,4.8,1.0847560975609756
21/04 20:45,ac monza,atalanta bergame,unibet,3.85,unibet,3.62,unibet,1.8,1.0915389092184673
22/04 18:30,as rome,bologne,unibet,2.18,unibet,3.05,unibet,3.3,1.0896147518195947
22/04 20:45,milan ac,inter milan,unibet,3.25,unibet,3.48,unibet,2.02,1.0900981344818832
21/04 12:30,sassuolo,us lecce,unibet,2.22,unibet,3.28,unibet,3.0,1.0886618325642714
21/04 18:00,us salernitana 1919,fiorentina,unibet,4.8,zebet,3.9,unibet,1.6,1.0897435897435899
20/04 20:45,hellas verone,udinese,unibet,2.52,unibet,3.08,unibet,2.72,1.0891477803242509
